R_0_1,R_0_2,Ieq_obt_1,Ieq_obt_2,Seq_obt_1,Seq_obt_2
0.65,6.8,-1.86E-14,0.66567544,0.766666666,0.114771628
0.65,6.95,-1.49E-13,0.667780418,0.766666667,0.112232003
0.65,7.1,3.48E-16,0.669795743,0.766666667,0.109802581
0.65,7.25,-1.42E-13,0.67172714,0.766666667,0.107476342
0.65,7.4,-3.14E-13,0.673579855,0.766666667,0.105246852
0.65,7.55,-1.38E-13,0.675358701,0.766666667,0.103108199
0.65,7.7,2.22E-12,0.677068101,0.766666667,0.10105494
0.65,7.85,-1.92E-14,0.678712132,0.766666667,0.099082063
0.65,8,-3.73E-13,0.680294552,0.766666667,0.097184936
0.8,0.5,-7.96E-13,2.04E-14,0.766666667,0.875595036
0.8,0.65,8.18E-13,1.99E-14,0.766666667,0.875595036
0.8,0.8,4.00E-13,2.87E-12,0.766666667,0.875595036
0.8,0.95,4.99E-14,1.54E-06,0.766666667,0.87559337
0.8,1.1,2.39E-12,0.078983532,0.766666666,0.789835321
0.8,1.25,-3.48E-11,0.171956977,0.766666666,0.687827908
0.8,1.4,-4.28E-12,0.243402755,0.766666666,0.608506887
0.8,1.55,-2.26E-11,0.299841482,0.766666667,0.545166331
0.8,1.7,6.62E-12,0.345440799,0.766666666,0.493486855
0.8,1.85,-3.56E-11,0.38297998,0.766666669,0.450564683
0.8,2,-1.30E-11,0.414378173,0.766666667,0.414378173
0.8,2.15,-1.70E-12,0.440999839,0.766666667,0.383478121
0.8,2.3,-6.14E-12,0.463839497,0.766666667,0.356799613
0.8,2.45,3.22E-12,0.483637747,0.766666667,0.333543274
0.8,2.6,-3.59E-11,0.500956534,0.766666666,0.313097833
0.8,2.75,-5.66E-12,0.516229346,0.766666667,0.294988198
0.8,2.9,-9.56E-11,0.529795527,0.766666666,0.278839751
0.8,3.05,-1.10E-11,0.541924234,0.766666667,0.264353285
0.8,3.2,-1.11E-11,0.552831501,0.766666666,0.251287046
0.8,3.35,5.79E-12,0.562692589,0.766666667,0.239443655
0.8,3.5,-1.93E-11,0.571651077,0.766666667,0.228660431
0.8,3.65,-3.27E-12,0.579825645,0.766666667,0.21880213
0.8,3.8,4.25E-13,0.587315196,0.766666667,0.209755427
0.8,3.95,-2.47E-11,0.594202774,0.766666666,0.201424669
0.8,4.1,-1.15E-11,0.600558598,0.766666667,0.19372858
0.8,4.25,1.31E-11,0.606442426,0.766666667,0.18659767
0.8,4.4,-4.11E-11,0.611905418,0.766666667,0.179972182
0.8,4.55,1.17E-11,0.616991617,0.766666667,0.173800455
0.8,4.7,1.54E-11,0.621739143,0.766666667,0.168037606
0.8,4.85,-2.32E-12,0.626181146,0.766666667,0.162644453
0.8,5,3.44E-12,0.630346587,0.766666667,0.157586647
0.8,5.15,-3.90E-12,0.634260879,0.766666667,0.152833947
0.8,5.3,-1.16E-11,0.637946408,0.766666667,0.14835963
0.8,5.45,4.49E-11,0.641422975,0.766666667,0.144139994
0.8,5.6,6.72E-12,0.64470815,0.766666667,0.140153946
0.8,5.75,-1.68E-11,0.647817584,0.766666666,0.136382649
0.8,5.9,-4.52E-11,0.650765257,0.766666666,0.132809236
0.8,6.05,-6.13E-12,0.653563702,0.766666667,0.129418555
0.8,6.2,-1.65E-12,0.656224179,0.766666667,0.126196958
0.8,6.35,-6.19E-14,0.65875684,0.766666667,0.12313212
0.8,6.5,3.76E-14,0.661170858,0.766666667,0.120212883
0.8,6.65,9.37E-13,0.663474543,0.766666667,0.117429123
0.8,6.8,3.80E-11,0.66567544,0.766666667,0.114771628
0.8,6.95,2.88E-12,0.667780418,0.766666666,0.112232003
0.8,7.1,-3.56E-12,0.669795743,0.766666667,0.109802581
0.8,7.25,-4.04E-11,0.67172714,0.766666667,0.107476342
0.8,7.4,-2.21E-12,0.673579855,0.766666667,0.105246852
0.8,7.55,-2.11E-11,0.675358701,0.766666666,0.103108199
0.8,7.7,-1.74E-11,0.677068101,0.766666667,0.101054941
0.8,7.85,3.50E-11,0.678712132,0.766666667,0.099082063
0.8,8,-6.84E-12,0.680294552,0.766666667,0.097184936
0.95,0.5,1.39E-06,9.07E-16,0.766664784,0.875594886
0.95,0.65,1.45E-06,1.33E-14,0.7666647,0.875594879
0.95,0.8,1.28E-06,1.50E-13,0.766664935,0.875594898
0.95,0.95,1.39E-06,1.70E-06,0.766664779,0.875593048
0.95,1.1,1.49E-06,0.0789835,0.766664645,0.789835176
0.95,1.25,1.51E-06,0.171956926,0.766664622,0.687827754
0.95,1.4,1.32E-06,0.24340269,0.766664883,0.608506753
0.95,1.55,1.44E-06,0.299841389,0.766664715,0.545166186
0.95,1.7,1.35E-06,0.345440692,0.766664844,0.493486722
0.95,1.85,1.40E-06,0.38297985,0.766664769,0.450564547
0.95,2,1.44E-06,0.414378021,0.766664721,0.414378036
0.95,2.15,1.42E-06,0.440999672,0.766664747,0.383477989
0.95,2.3,1.49E-06,0.463839305,0.766664653,0.356799478
0.95,2.45,1.44E-06,0.483637545,0.766664713,0.333543147
0.95,2.6,1.43E-06,0.50095632,0.766664725,0.31309771
0.95,2.75,1.35E-06,0.516229133,0.76666484,0.294988085
0.95,2.9,1.34E-06,0.529795303,0.766664852,0.278839642
0.95,3.05,1.44E-06,0.541923984,0.766664723,0.264353172
0.95,3.2,1.39E-06,0.552831248,0.766664784,0.25128694
0.95,3.35,1.45E-06,0.562692314,0.7666647,0.239443547
0.95,3.5,1.37E-06,0.571650809,0.766664805,0.228660331
0.95,3.65,1.45E-06,0.579825354,0.766664708,0.218802028
0.95,3.8,1.37E-06,0.587314912,0.766664813,0.209755332
0.95,3.95,1.38E-06,0.594202481,0.766664802,0.201424576
0.95,4.1,1.47E-06,0.60055828,0.766664682,0.193728484
0.95,4.25,1.40E-06,0.606442115,0.76666477,0.186597579
0.95,4.4,1.48E-06,0.611905082,0.766664662,0.179972089
0.95,4.55,1.44E-06,0.616991284,0.766664715,0.173800368
0.95,4.7,1.41E-06,0.621738812,0.766664761,0.168037522
0.95,4.85,1.41E-06,0.626180808,0.766664753,0.162644371
0.95,5,1.38E-06,0.630346253,0.766664802,0.157586568
0.95,5.15,1.35E-06,0.634260547,0.766664839,0.152833872
0.95,5.3,1.38E-06,0.637946065,0.766664799,0.148359555
0.95,5.45,1.29E-06,0.641422652,0.766664923,0.144139924
0.95,5.6,1.38E-06,0.644707798,0.766664795,0.140153874
0.95,5.75,1.42E-06,0.647817219,0.766664749,0.136382577
0.95,5.9,1.46E-06,0.650764878,0.766664693,0.132809163
0.95,6.05,1.43E-06,0.653563327,0.766664736,0.129418485
