alpha,R_0_2,Ieq_obt_1,Ieq_obt_2,Seq_obt_1,Seq_obt_2
0.021,3.2,-1.799963455915411e-14,2.262822904932407e-11,3.2938834117585502e-21,-1.0895550026588108e-11
0.021,3.35,-1.3019050658329816e-14,-1.6479097872103855e-12,1.4934218189725825e-21,1.073226236454835e-12
0.021,3.5,-1.4864354101001226e-14,5.59938067671779e-12,1.4738104976029389e-21,-2.6971087009492258e-12
0.021,3.65,-9.636309313538916e-15,8.864966838906463e-12,4.942979853964809e-24,-4.2197572514074525e-12
0.021,3.8,3.9971371663876874e-15,-1.3115171770805375e-11,1.310575027504335e-22,6.288358822239521e-12
0.021,3.95,4.785439116116998e-13,1.5598016745022544e-11,8.465409876293204e-23,-6.351255631760547e-12
0.021,4.1,-2.8954004100404256e-15,-2.118885827812556e-12,9.902815393480374e-26,1.1103348968876927e-12
0.021,4.25,5.735154338856609e-15,7.17669245602756e-13,-8.047765365418661e-25,-9.444226671919484e-14
0.021,4.4,-1.3476814632675801e-14,-9.332472507906913e-13,2.706257962107489e-25,4.988902417592693e-13
0.021,4.55,-6.670651425224643e-14,-3.8223580741154495e-12,-2.3345107816943853e-21,1.7228187876044609e-12
0.021,4.7,8.633554090485459e-14,-5.4346992079659956e-11,3.657775685980715e-23,2.570451715558958e-11
0.021,4.85,-9.251775986925522e-15,4.63310029049733e-12,2.9002418008089167e-25,-2.13923152008981e-12
0.021,5.0,-1.106436596949621e-14,1.5590719435955382e-11,7.164236768563926e-26,-7.429877158468441e-12
0.021,5.15,6.33709318360581e-13,-9.89873997398511e-12,-3.2763812784276104e-18,5.160924645491451e-12
0.021,5.3,-4.307959824838107e-13,-2.03845022016431e-11,-2.705824906452877e-17,1.0494222492210096e-11
0.021,5.45,-2.4463064792415473e-14,1.8086441842594085e-12,-2.3994662592273986e-17,-9.798751213323059e-13
0.021,5.6,7.048930985281062e-13,-2.708889956038965e-11,-1.6316617803060233e-17,1.3284836626015053e-11
0.021,5.75,-4.350204589287772e-11,-5.1932318608780415e-11,-9.43581459586401e-18,-1.936414250993808e-12
0.021,5.9,-8.374947314491705e-15,1.6905185494595886e-12,7.449491213286979e-22,-8.450725292999031e-13
0.021,6.05,-1.8403764638702163e-15,8.77758530538989e-12,-1.4709725454298435e-25,-4.134140006327819e-12
0.021,6.2,-3.0717234534238073e-15,-3.2051604748881056e-12,-2.186015486929261e-25,1.5200450089334419e-12
0.021,6.35,-5.931408464357999e-12,-2.1133614117812993e-11,5.023744185643488e-17,7.251070466183995e-13
0.021,6.5,-2.9133318639117006e-11,-1.9657272871724206e-11,-6.948457123858994e-17,-4.2680445240512705e-12
0.021,6.65,2.501814990494626e-13,3.6106145892990867e-12,-1.5475253767889176e-17,-1.5165130462669813e-12
0.021,6.8,5.718042846588233e-16,1.2507315791698328e-12,-1.6103966357382641e-22,-5.213180861262409e-13
0.021,6.95,-8.441964464079791e-16,1.2034493478999857e-11,6.38233224513884e-25,-6.1719056186073265e-12
0.021,7.1,-1.1529200824027583e-12,-5.6743386292889226e-14,-7.508499790457941e-16,-4.956381681844061e-13
0.021,7.25,5.34142222105178e-13,7.377521609008629e-12,-5.832939933674243e-17,-3.243696695463322e-12
0.021,7.4,1.6225138073017553e-13,1.6280705520959547e-13,-2.4087124410293162e-19,3.2019586037392535e-14
0.021,7.55,-6.771137151493088e-12,-2.1176374149310588e-11,2.6018502603790052e-18,2.6670346865010527e-12
0.021,7.7,7.567757932920424e-16,-2.4038346660948765e-11,7.406321808324732e-26,1.1478594223766031e-11
0.021,7.85,1.0055313874813188e-12,3.5717724008149894e-12,-3.799005903483296e-17,-1.2943193088065538e-12
0.021,8.0,2.403238569333403e-12,3.998073870316777e-12,4.42420501411524e-19,-8.225730039902527e-13
0.041,0.5,3.582973748061469e-12,2.5439764677015413e-12,-1.6690898489810698e-13,0.21853658533966008
0.041,0.65,1.328260991572438e-11,-3.0360195824605574e-15,1.627115071722616e-12,0.31219512132525407
0.041,0.8,1.0821823022962241e-13,-1.9225080412532658e-15,-2.1275960214884597e-14,0.31219512190665133
0.041,0.95,2.8432156174650913e-13,-6.40246139502587e-15,-5.604856614072866e-14,0.31219512185088744
0.041,1.1,1.884583466530173e-10,0.0051751053107317434,7.819841347722617e-12,0.2702895812061813
0.041,1.25,1.2576862323762455e-10,0.0034500696304948864,5.15421973162014e-12,0.034501993509092145
0.041,1.4,-1.2235028903920701e-13,-2.421749581465107e-12,-6.955949416228426e-13,1.7757018914876452e-12
0.041,1.55,-7.423610074622972e-13,-3.0496864278154038e-12,3.312613276938187e-13,-2.6058629383154065e-11
0.041,1.7,-2.410960452362505e-12,-2.8890646928710223e-12,-2.6201389338458557e-12,-3.2313701745766005e-12
0.041,1.85,-2.3918383966603147e-12,-4.0511152241107e-12,9.206774243087791e-13,2.4526249964564295e-12
0.041,2.0,-1.5463012686956946e-12,-1.1106500644355642e-12,5.696808624738194e-13,1.278444982458647e-11
0.041,2.15,-2.459233777669892e-11,1.026264623717004e-12,9.42213104098571e-12,-5.013662961742343e-11
0.041,2.3,9.344843761093784e-12,6.003871355592664e-12,-3.585014341554093e-12,1.7291593653317562e-12
0.041,2.45,-1.2787561422413533e-13,2.7961638237525367e-13,4.41076165047709e-14,3.1903661588266766e-13
0.041,2.6,-1.6331812650892235e-14,-8.118798456909865e-13,2.6944210319369407e-17,-1.1025041247903073e-11
0.041,2.75,-1.4206317724198298e-14,3.3731035251844074e-11,-1.6968865513002037e-16,-2.4228903776522172e-11
0.041,2.9,-5.161133348729812e-15,-1.2033095675661452e-11,-5.589255507915279e-24,5.165775131004468e-12
0.041,3.05,-4.411456248100563e-15,-1.8885822928917445e-14,7.209468455447487e-22,3.719957546193049e-15
0.041,3.2,-4.272548521432211e-15,-2.2950637965251728e-11,2.3483794468410302e-21,8.777727562239655e-12
0.041,3.35,-1.990340348709534e-14,3.268666001486069e-12,1.2569628743268053e-21,-1.5245736760159492e-12
0.041,3.5,2.840073872334387e-13,6.94135087787446e-13,1.7268862511658982e-17,-1.0950724997251246e-13
0.041,3.65,-5.024260009250632e-14,-9.107794063255115e-14,1.5943431733267334e-18,-4.4999306150655816e-15
0.041,3.8,1.7121193497374902e-15,1.1136209834809506e-11,-6.4529205289022026e-21,-4.229424568016249e-12
0.041,3.95,-1.9071951430225663e-14,-1.8238411153231394e-12,6.268779099487197e-22,6.862304180647841e-13
0.041,4.1,-2.874958014277437e-14,1.2099307018923557e-11,3.693509061421963e-21,-4.495535771939706e-12
0.041,4.25,1.3584753658025206e-14,1.9697578933490094e-14,9.981806299359492e-21,-8.056337759730997e-17
0.041,4.4,-3.4302482814931192e-15,-7.33115118895456e-12,9.009565305819217e-24,2.782392375921534e-12
0.041,4.55,-2.9415499932943216e-15,1.4369127289282887e-12,-4.202386671969772e-24,-5.320710579863241e-13
0.041,4.7,5.202081454657196e-13,-8.653615238166724e-12,9.556138574811137e-19,3.6918540578929515e-12
0.041,4.85,-1.8421410564950462e-15,-2.298459396846475e-12,1.8321903668308775e-25,8.949100617959873e-13
0.041,5.0,1.3106148469954626e-13,-1.6834525960036343e-12,-2.2993858746184756e-18,6.922307021260198e-13
0.041,5.15,5.529777751499006e-16,3.297101304669806e-13,3.8790748912654995e-20,-1.4978195882010937e-13
0.041,5.3,2.5154838810726856e-13,-6.085049589045777e-12,-1.3516953558739886e-21,5.5363598142367396e-12
0.041,5.45,3.5762308435472214e-14,-1.4684908898061094e-13,7.253803953798323e-19,1.162598794217634e-13
0.041,5.6,-1.4665061673775267e-14,-6.175762131493725e-13,-1.7722899243057212e-20,1.2876704169963555e-15
0.041,5.75,-8.653259206414326e-15,-6.282542185645402e-13,1.5569295157096216e-21,2.16765288373959e-13
0.041,5.9,2.993132835194069e-16,-7.641055567902141e-13,2.4836948338249e-22,2.77677526856831e-13
0.041,6.05,3.3644890362226374e-12,4.764786303366048e-12,1.0283223397269095e-18,3.4228788452544092e-16
0.041,6.2,1.0999646623656843e-13,3.6626574220469387e-13,9.011271566708445e-18,-5.3403154107470685e-14
0.041,6.35,3.2593632442743166e-15,3.0949830641255722e-12,1.462707717314449e-18,-1.1835891546484749e-12
0.041,6.5,5.191220742080676e-15,-1.2375422720120912e-12,-2.551378917266028e-20,4.704678821045333e-13
0.041,6.65,7.189535989011412e-13,5.293297529017051e-12,2.4607512557880997e-17,-1.7147461784891225e-12
0.041,6.8,2.262761402617053e-12,1.0386809455191448e-11,2.447981743973219e-17,-2.5423274072890718e-12
0.041,6.95,6.9840851261458665e-12,8.075682016715203e-12,1.5574240604720975e-19,-2.0286183268882964e-12
0.041,7.1,1.280582911631682e-13,6.067649046942875e-14,-2.1239094937310273e-20,2.860549456604218e-14
0.041,7.25,-1.0284508478899725e-12,-1.2078521586257641e-11,-1.406584577215078e-16,4.334459494993896e-12
0.041,7.4,1.0230450312745524e-12,1.6365137281344519e-12,-1.5836711172804697e-16,-1.5900430022135393e-13
0.041,7.55,2.7906180540323877e-12,4.2155631819459774e-12,-1.6769697589300997e-16,3.8977573065302325e-15
0.041,7.7,-1.2124405526218024e-14,1.0100175021618367e-11,4.187915274304708e-20,-2.6915730225496953e-12
0.041,7.85,-2.3221782577235696e-15,7.29379349638233e-14,8.157663434981632e-23,-3.159517742705198e-14
0.041,8.0,8.886522005808588e-13,-1.038943495439685e-12,-4.128017040416883e-17,6.04428915267143e-13
0.061,0.5,3.735671158723296e-11,9.059699964147861e-16,2.9086804177991312e-11,0.4721311476454428
0.061,0.65,6.319122209714811e-12,8.23375343256708e-13,-2.2515557760186957e-12,0.47213114758821784
0.061,0.8,-5.850640210223938e-13,9.6641499481995e-13,1.0331036752601859e-13,0.4721311469394454
0.061,0.95,-1.5284547549531394e-09,6.126241306392127e-07,6.702844809241647e-10,0.4721292968854797
0.061,1.1,6.039629891381217e-10,0.01742219725195508,9.274764444833486e-10,0.4102818362652255
0.061,1.25,5.800770439861711e-14,0.03484351709757474,3.2022145094378872e-18,0.3484351718862203
0.061,1.4,5.800770439861711e-14,0.03484351709757474,3.2022145094378872e-18,0.3484351718862203
0.061,1.55,-3.5944885731583924e-14,0.0034843513131828595,1.0029543269285456e-14,0.034843516035566194
0.061,1.7,-9.26722460748318e-15,4.035717364001741e-11,2.9603925272440264e-15,6.885496519959677e-11
0.061,1.85,-1.5482252609826753e-11,-2.602803373266305e-11,3.1632092545811255e-12,-1.4498370338125373e-11
0.061,2.0,-6.071318167724561e-12,2.942524580247295e-12,1.9828340255102087e-12,-1.931134295075244e-12
0.061,2.15,-1.7100756150390252e-14,-4.399368939613708e-14,3.896766756031057e-16,1.1705463507140591e-14
0.061,2.3,2.4729678299834317e-12,5.867100832176412e-12,2.987755683200894e-12,1.9989356185035636e-12
0.061,2.45,5.098605973526896e-13,3.7696723816597904e-12,-4.3314631066727156e-14,2.9992896881389896e-11
0.061,2.6,-7.06266042371413e-15,-2.521561096270354e-12,-2.9352921837100395e-17,-4.283100703152426e-12
0.061,2.75,-6.900235470131832e-15,-1.5901368292771291e-12,3.2490408377936305e-18,-3.088475946599248e-11
0.061,2.9,1.0483457039359229e-16,-1.4043398773018907e-12,-2.3137864407123523e-17,5.859500843086805e-13
0.061,3.05,-1.2801483123791159e-14,2.929771553702628e-12,4.236565556849058e-18,2.496342150816665e-13
0.061,3.2,-9.776546617907061e-15,1.8063291956056153e-11,5.091855410592015e-23,-6.000575599684204e-12
0.061,3.35,-6.468535521677383e-15,-2.0607801893344485e-13,-8.838631060278458e-23,5.025917179046431e-14
0.061,3.5,5.6054788378470824e-12,2.106077571474903e-11,4.0378557564780195e-17,1.9776318194807515e-14
0.061,3.65,3.2655533747442663e-13,3.486806644667154e-13,2.227964035165528e-16,1.3328167045130147e-13
0.061,3.8,-6.478922692344869e-13,5.337172567569181e-13,1.9580613842948413e-13,-4.4516746068219544e-13
0.061,3.95,-1.574280412145395e-14,-4.201540231230047e-13,1.6246276750673424e-19,1.3096481600471042e-13
0.061,4.1,1.1895441853318296e-12,1.4920010724316346e-12,6.515843488782612e-17,6.430614872667166e-16
0.061,4.25,6.060430532214276e-15,5.506347521120903e-13,-3.6451180220135013e-22,9.369598220558614e-13
0.061,4.4,1.6040220204571663e-16,-5.1975557111455235e-12,-7.804145424663354e-19,1.7381622438716562e-12
0.061,4.55,1.0383954387267287e-14,3.4664245932049467e-12,4.807211297135217e-18,-1.147285842757202e-12
0.061,4.7,2.221379427042602e-15,6.627209245430753e-12,-4.1378891701028484e-21,-5.5496518786470124e-12
0.061,4.85,2.159021622103518e-13,-2.4940492961327528e-12,2.1768549057137376e-17,8.373297748258791e-13
0.061,5.0,6.290348217874598e-15,-2.5291190011446954e-12,4.875799154998343e-18,8.294281628119625e-13
0.061,5.15,-4.3915808101908095e-14,5.441408826048465e-12,3.4810802696233504e-17,-1.842178697418275e-12
0.061,5.3,-6.945631848353094e-15,-1.6690482847841588e-13,5.070625145622107e-22,5.035877145756486e-14
0.061,5.45,4.809925654934174e-15,-2.344378343040681e-11,-2.9386047970913287e-22,7.841407637109602e-12
0.061,5.6,-3.2421193040090934e-13,-1.3152353390023426e-11,-5.884216429349042e-17,4.248269499062541e-12
0.061,5.75,-2.6762438262495084e-11,-9.970267436454882e-11,-2.842728585273731e-14,-4.963760389734295e-14
0.061,5.9,1.9510018953727916e-13,1.4870411107392032e-12,3.0326874355934945e-17,-3.663342325940643e-13
0.061,6.05,-2.315743565282457e-13,-4.801177452574449e-13,7.5020418974403e-18,8.364752971796173e-14
0.061,6.2,8.727899174063743e-15,-4.943240276175468e-12,1.9097577896416774e-17,1.5952875595231446e-12
0.061,6.35,3.106164526731915e-13,-8.476437342268424e-13,-1.8722533417578185e-16,4.0414325257210457e-13
0.061,6.5,2.860040407890827e-10,3.650682866308531e-10,6.209814904942555e-15,2.3342910649008477e-13
0.061,6.65,-9.264541154933121e-16,4.0316193761190026e-11,3.1887661295356504e-21,-1.3596997893899439e-11
0.061,6.8,-2.533499433905826e-12,-4.7779048567780674e-12,2.810549937695359e-16,7.272514404196781e-13
0.061,6.95,6.14105616172417e-12,5.5569194112243096e-12,-9.557015642157163e-18,1.5173435265027937e-16
0.061,7.1,-2.2868280703807133e-14,3.4512754377784533e-12,2.751666825264144e-16,-2.9346576550699275e-12
0.061,7.25,-6.782797053697043e-15,-1.7204457516488908e-13,1.6407653996399115e-15,6.192546992681811e-14
0.061,7.4,-2.686374511625753e-13,1.4353280034978616e-11,2.4795106599087673e-18,-4.8468022182991015e-12
0.061,7.55,4.4457795529235007e-13,4.720435494421502e-13,-2.9222703389675614e-16,1.2013102504414349e-15
0.061,7.7,4.767377259559731e-15,9.132705565788225e-16,-1.8893815122402974e-22,3.536440272061039e-16
0.061,7.85,-3.452217859170148e-11,-2.450150455222706e-11,-9.274102177788437e-17,3.776459239428646e-12
0.061,8.0,-3.962587772994186e-14,-3.909493082105216e-13,1.2998601069898404e-18,6.158057293366193e-14
0.081,0.5,4.047578557165762e-14,4.625237873510327e-15,-1.3182974793708444e-14,0.4977777777981478
0.081,0.65,-4.933226761515839e-13,2.49953170426854e-15,-3.3732282419050677e-13,0.5530864197221345
0.081,0.8,-3.8190068501861525e-12,5.885458233780947e-13,-8.414885683201422e-12,0.5530864199693755
0.081,0.95,7.387210121986118e-10,8.176133375806104e-07,-3.5735735527816693e-10,0.5530844962083422
0.081,1.1,1.3653839704807628e-10,0.039373843188245425,4.397378410889332e-10,0.4490457673579364
0.081,1.25,2.4920065196795205e-13,0.05538496070190339,1.2160460338891749e-12,0.37903479218280023
0.081,1.4,9.950782441497294e-13,0.06906172718231514,8.360726076938922e-13,0.20543209817732713
0.081,1.55,-9.562777037467413e-17,0.06744267802180541,-4.842407904270055e-21,0.16860670121299898
0.081,1.7,-1.1073327966751823e-14,0.013488534950975472,1.2037146019434878e-15,0.03372133924662411
0.081,1.85,1.721780313635255e-17,-7.653317661684081e-11,-4.3875595413778553e-16,-1.8681921712844775e-10
0.081,2.0,1.2884880274301156e-12,8.98505927834694e-12,-3.8059140512124975e-13,9.515211192052293e-12
0.081,2.15,-2.532856929665167e-12,8.954894926457309e-13,7.536137230556801e-13,3.5776847850277394e-12
0.081,2.3,-2.506250245822077e-13,-5.95225021199318e-10,7.277574233372564e-14,-9.54048891747204e-10
0.081,2.45,2.775921699788036e-13,1.3090660947032677e-12,-7.47257334737803e-14,-2.442250113743271e-13
0.081,2.6,1.4195217156806486e-12,-1.4414321154462388e-13,-4.140135082735988e-13,-1.1604615995116354e-11
0.081,2.75,8.123674481250144e-12,1.05450190794207e-11,2.1563861385848583e-15,1.594649407296207e-13
0.081,2.9,2.3446661258805236e-15,-7.265751690321967e-12,3.2717706444851033e-17,6.062240483760935e-12
0.081,3.05,-1.6035256057548797e-14,-9.105590341921449e-13,8.992286034450213e-21,2.829279329845614e-13
0.081,3.2,-9.66078747074627e-15,2.362940787387981e-12,-2.890997272836299e-22,-2.9172424391654767e-13
0.081,3.35,7.59809936520256e-13,3.5566269869177614e-10,1.2215966661039733e-12,-1.0404242186576364e-10
0.081,3.5,1.6307439118190358e-10,4.1235459204832114e-10,-8.23865856432144e-17,1.3698233244637693e-12
0.081,3.65,-9.683007767960797e-15,-2.9611057978140335e-13,-4.848078334900467e-22,8.547145473244399e-14
0.081,3.8,-1.4234023412963622e-13,-2.896177685611097e-13,1.924202946594871e-15,7.168125893536027e-15
0.081,3.95,-1.2553412327054089e-14,-1.1843940922266842e-12,-1.1519900243379137e-18,8.920778055736284e-13
0.081,4.1,1.975243755759523e-12,2.366161534126707e-12,1.1883606302166107e-15,3.1910337313389542e-16
0.081,4.25,-8.369031608762661e-15,-1.751929468260403e-12,-2.346018243135216e-23,7.418525565168378e-13
0.081,4.4,-5.115962127090319e-13,7.705245904084755e-13,2.400356804805495e-17,-3.5867080838946876e-13
0.081,4.55,-1.6837910657313256e-12,-6.915658346346381e-12,9.96864049977452e-18,1.456011590391151e-12
0.081,4.7,-1.1746092287873964e-12,-2.4346668017894473e-12,-2.0533316452486658e-15,3.454636129686017e-14
0.081,4.85,-5.199606104537573e-11,-6.154695113769894e-11,-2.1174716972470458e-14,-2.0254129108289594e-13
0.081,5.0,9.653083882820789e-16,-2.0451948124383688e-14,-7.08943366169462e-20,3.0661157992802293e-15
0.081,5.15,1.910376601001924e-11,2.5440630048863804e-11,7.199129707852206e-16,-2.0166520270708316e-12
0.081,5.3,-1.0331249698679233e-14,-9.034224666051356e-13,-2.979198220038565e-21,1.818299944205018e-13
0.081,5.45,3.6190369646678526e-11,3.2323312733736795e-11,1.655548365443174e-13,3.140870508268537e-14
0.081,5.6,-8.059591283902681e-16,-1.0102922917302347e-15,7.90348684741706e-21,2.086356606315374e-16
0.081,5.75,-1.0887605818352092e-11,-7.974715216229386e-12,9.546707137595293e-16,3.8287652961245197e-16
0.081,5.9,-4.434967773136131e-15,9.193973139067151e-13,8.200276196323968e-19,-2.703712871714007e-13
0.081,6.05,1.0055910110798914e-11,-1.1649082393492856e-13,-2.1886577181797722e-12,1.612749045859657e-12
0.081,6.2,1.435308603047883e-12,5.483972946029713e-12,1.0921729678418653e-14,8.284925152453669e-15
0.081,6.35,8.665251269825026e-14,1.7549972095791046e-12,1.813405686105139e-18,-4.748577054104381e-13
0.081,6.5,1.4648166529558925e-12,1.2148055585670103e-11,1.8023879587068807e-15,-3.1473178659405224e-12
0.081,6.65,-1.3908550035069622e-10,-1.9012589253204425e-10,-3.7810512264558737e-14,-6.959830545763559e-14
0.081,6.8,-2.3676329024625683e-14,1.2082472214085055e-13,7.720712907922507e-18,1.0525033605724242e-16
0.081,6.95,1.7454722720053644e-12,-3.9314774045302126e-13,1.0763345583915185e-16,4.592479037475473e-13
0.081,7.1,8.631618458224757e-14,-1.11149384958305e-12,-1.3778792723264445e-18,3.7161691119378485e-13
0.081,7.25,5.767330232634752e-16,-1.6112883366986966e-12,1.3689970599369292e-21,1.4677585714425553e-12
