R_0_1,R_0_2,Ieq_obt_1,Ieq_obt_2,Seq_obt_1,Seq_obt_2
0.65,6.8,-2.54E-13,0.66567544,0.766666667,0.114771628
0.65,6.95,-1.04E-13,0.667780418,0.766666667,0.112232003
0.65,7.1,4.13E-14,0.669795743,0.766666667,0.109802581
0.65,7.25,1.11E-13,0.67172714,0.766666667,0.107476342
0.65,7.4,-1.73E-13,0.673579855,0.766666667,0.105246852
0.65,7.55,-5.91E-14,0.675358701,0.766666667,0.103108199
0.65,7.7,-2.28E-12,0.677068101,0.766666667,0.101054941
0.65,7.85,-1.65E-13,0.678712132,0.766666667,0.099082063
0.65,8,-6.84E-14,0.680294552,0.766666667,0.097184936
0.8,0.5,-9.09E-12,2.81E-15,0.766666667,0.875595036
0.8,0.65,6.99E-13,7.29E-13,0.766666666,0.875595036
0.8,0.8,8.74E-12,7.36E-12,0.766666666,0.875595036
0.8,0.95,-5.61E-13,1.70E-06,0.766666666,0.875593195
0.8,1.1,-7.04E-12,0.078983532,0.766666666,0.789835321
0.8,1.25,-2.21E-12,0.171956977,0.766666667,0.687827908
0.8,1.4,-1.59E-11,0.243402755,0.766666666,0.608506887
0.8,1.55,-1.94E-11,0.299841482,0.766666667,0.545166331
0.8,1.7,7.56E-12,0.345440799,0.766666667,0.493486855
0.8,1.85,-2.99E-11,0.38297998,0.766666666,0.450564683
0.8,2,-3.20E-11,0.414378173,0.766666668,0.414378173
0.8,2.15,5.11E-12,0.440999839,0.766666666,0.383478121
0.8,2.3,-6.75E-13,0.463839497,0.766666667,0.356799613
0.8,2.45,-1.39E-11,0.483637747,0.766666667,0.333543274
0.8,2.6,-9.17E-12,0.500956534,0.766666667,0.313097833
0.8,2.75,1.80E-11,0.516229346,0.766666667,0.294988198
0.8,2.9,5.10E-12,0.529795527,0.766666667,0.278839751
0.8,3.05,-3.01E-11,0.541924234,0.766666667,0.264353285
0.8,3.2,4.43E-12,0.552831501,0.766666666,0.251287046
0.8,3.35,-1.54E-12,0.562692589,0.766666666,0.239443655
0.8,3.5,-3.89E-11,0.571651077,0.766666664,0.228660431
0.8,3.65,-1.01E-11,0.579825645,0.766666666,0.21880213
0.8,3.8,4.67E-12,0.587315195,0.766666666,0.209755427
0.8,3.95,-9.93E-13,0.594202774,0.766666667,0.201424669
0.8,4.1,-1.27E-11,0.600558598,0.766666667,0.19372858
0.8,4.25,-2.93E-11,0.606442426,0.766666665,0.18659767
0.8,4.4,6.79E-11,0.611905418,0.766666665,0.179972181
0.8,4.55,-8.81E-12,0.616991617,0.766666667,0.173800455
0.8,4.7,-1.79E-11,0.621739143,0.766666667,0.168037606
0.8,4.85,6.19E-13,0.626181146,0.766666667,0.162644453
0.8,5,9.27E-12,0.630346587,0.766666666,0.157586647
0.8,5.15,-2.25E-12,0.634260878,0.766666667,0.152833947
0.8,5.3,7.73E-12,0.637946409,0.766666668,0.14835963
0.8,5.45,8.88E-12,0.641422975,0.766666667,0.144139994
0.8,5.6,-6.98E-12,0.64470815,0.766666666,0.140153946
0.8,5.75,-4.38E-13,0.647817584,0.766666667,0.136382649
0.8,5.9,1.99E-11,0.650765258,0.766666667,0.132809236
0.8,6.05,-1.86E-12,0.653563702,0.766666667,0.129418555
0.8,6.2,8.54E-13,0.656224179,0.766666667,0.126196958
0.8,6.35,4.19E-12,0.65875684,0.766666667,0.12313212
0.8,6.5,8.96E-12,0.661170858,0.766666667,0.120212883
0.8,6.65,-4.62E-12,0.663474543,0.766666667,0.117429123
0.8,6.8,3.16E-12,0.66567544,0.766666667,0.114771628
0.8,6.95,1.18E-10,0.667780418,0.766666667,0.112232003
0.8,7.1,-7.82E-12,0.669795743,0.766666667,0.109802581
0.8,7.25,8.25E-12,0.67172714,0.766666666,0.107476342
0.8,7.4,9.49E-12,0.673579855,0.766666666,0.105246852
0.8,7.55,4.27E-12,0.675358701,0.766666667,0.103108199
0.8,7.7,6.32E-12,0.677068101,0.766666667,0.10105494
0.8,7.85,4.82E-11,0.678712132,0.766666667,0.099082063
0.8,8,4.12E-11,0.680294551,0.766666665,0.097184936
0.95,0.5,1.27E-06,-9.31E-14,0.766664945,0.875594899
0.95,0.65,1.42E-06,3.85E-15,0.766664741,0.875594883
0.95,0.8,1.42E-06,-1.98E-13,0.766664742,0.875594883
0.95,0.95,1.46E-06,1.47E-06,0.766664694,0.875593292
0.95,1.1,1.36E-06,0.078983503,0.766664827,0.789835189
0.95,1.25,1.43E-06,0.171956929,0.766664731,0.687827763
0.95,1.4,1.44E-06,0.243402684,0.766664715,0.60850674
0.95,1.55,1.52E-06,0.299841384,0.766664611,0.545166178
0.95,1.7,1.43E-06,0.345440686,0.766664732,0.493486713
0.95,1.85,1.40E-06,0.38297985,0.766664765,0.450564546
0.95,2,1.44E-06,0.414378021,0.766664722,0.414378036
