p,R_0_2,Ieq_obt_1,Ieq_obt_2,Seq_obt_1,Seq_obt_2
0.141,1.4,-1.30E-15,-7.60E-12,2.44E-16,-5.62E-11
0.141,1.55,-6.00E-16,-2.68E-14,-2.83E-20,-1.04E-13
0.141,1.7,7.68E-15,4.29E-14,-1.17E-20,5.63E-18
0.141,1.85,1.68E-13,3.73E-13,9.77E-19,-6.73E-12
0.141,2,1.39E-14,6.87E-14,-6.99E-21,-5.39E-14
0.141,2.15,-1.57E-13,-3.59E-13,-3.50E-21,1.06E-12
0.141,2.3,-7.99E-12,-4.80E-11,-5.01E-18,-8.94E-16
0.141,2.45,-4.01E-16,-2.06E-13,-9.95E-22,-2.05E-12
0.141,2.6,-1.03E-14,5.51E-13,3.15E-23,3.48E-12
0.141,2.75,2.79E-15,7.98E-12,-5.83E-21,3.24E-11
0.141,2.9,-3.75E-14,-1.06E-13,-6.05E-20,-7.36E-19
0.141,3.05,-4.88E-15,-1.35E-14,3.66E-22,3.23E-20
0.141,3.2,3.05E-13,9.87E-13,-1.18E-17,-1.21E-16
0.141,3.35,1.87E-11,4.86E-11,-2.23E-18,1.89E-16
0.141,3.5,3.36E-11,7.36E-11,-9.82E-17,-5.89E-16
0.141,3.65,-2.16E-11,-5.39E-11,-1.40E-17,-4.53E-15
0.141,3.8,1.03E-15,3.86E-15,5.35E-21,6.14E-19
0.141,3.95,9.77E-14,2.67E-13,4.09E-19,1.52E-18
0.141,4.1,3.17E-11,7.06E-11,-8.99E-17,-2.35E-16
0.141,4.25,-6.90E-13,-1.92E-12,5.40E-20,1.53E-17
0.141,4.4,-2.99E-14,-1.44E-13,-4.18E-19,2.80E-14
0.141,4.55,-6.72E-13,-2.03E-12,2.39E-17,6.22E-17
0.141,4.7,5.96E-15,9.44E-16,3.57E-20,1.60E-15
0.141,4.85,1.70E-11,1.38E-11,2.06E-18,5.07E-18
0.141,5,-3.41E-14,-2.81E-13,-8.61E-18,-2.88E-13
0.141,5.15,1.94E-11,5.16E-11,1.72E-16,1.27E-15
0.141,5.3,-1.86E-15,1.09E-12,-2.23E-23,-1.26E-13
0.141,5.45,-1.25E-15,-2.43E-14,7.41E-25,1.97E-15
0.141,5.6,-8.83E-15,-1.97E-14,7.30E-24,1.37E-20
0.141,5.75,-1.25E-13,-2.41E-13,9.26E-20,1.15E-14
0.141,5.9,-3.16E-15,-2.00E-12,1.44E-21,-8.42E-13
0.141,6.05,-6.03E-15,-2.08E-14,7.73E-25,4.36E-18
0.141,6.2,-3.30E-16,-2.65E-13,1.03E-23,3.28E-14
0.141,6.35,-8.00E-15,-1.76E-14,3.10E-24,3.82E-19
0.141,6.5,1.01E-13,1.60E-13,-2.04E-21,1.19E-17
0.141,6.65,-1.60E-10,-2.00E-10,-1.59E-16,-2.48E-16
0.141,6.8,-8.56E-15,-2.16E-14,-1.86E-20,-1.08E-17
0.141,6.95,-3.63E-14,-2.26E-12,6.74E-20,2.66E-13
0.141,7.1,-3.72E-13,-2.09E-12,1.54E-17,1.41E-16
0.141,7.25,-4.74E-14,1.67E-15,-1.19E-19,-8.62E-16
0.141,7.4,4.00E-12,5.09E-12,-5.19E-21,-1.55E-15
0.141,7.55,-1.18E-15,-1.12E-13,-3.13E-24,1.29E-14
0.141,7.7,1.12E-13,1.96E-13,-1.87E-21,-9.79E-21
0.141,7.85,5.46E-14,7.77E-14,1.04E-22,1.09E-22
0.141,8,3.01E-15,1.08E-15,1.70E-24,6.73E-16
0.161,0.5,1.53E-12,-6.98E-17,-1.75E-13,0.275362319
0.161,0.65,-6.70E-14,-6.61E-15,-6.77E-13,0.275362319
0.161,0.8,-2.28E-13,1.13E-11,-1.28E-13,0.275362318
0.161,0.95,-1.87E-14,1.12E-07,1.37E-17,0.275361812
0.161,1.1,-2.36E-10,0.006276187,5.01E-11,0.079843448
0.161,1.25,-9.73E-16,0.003482025,-4.20E-20,0.034820252
0.161,1.4,-2.27E-15,-3.54E-11,1.19E-16,-9.62E-11
0.161,1.55,7.02E-14,-3.96E-12,-8.14E-15,-1.58E-11
0.161,1.7,1.99E-15,-2.93E-13,-8.53E-18,-1.04E-12
0.161,1.85,4.02E-14,-4.69E-12,-4.87E-15,-1.73E-11
0.161,2,-6.97E-15,3.08E-13,-5.64E-24,2.54E-12
0.161,2.15,3.59E-12,1.53E-11,4.92E-17,7.58E-15
0.161,2.3,5.29E-15,1.85E-14,-4.98E-24,-6.68E-17
0.161,2.45,-1.22E-12,-2.17E-12,-2.34E-20,-1.41E-17
0.161,2.6,3.93E-13,5.42E-13,-6.04E-18,-1.77E-16
0.161,2.75,-1.12E-12,-4.29E-12,-1.57E-18,1.62E-16
0.161,2.9,-5.75E-16,-1.80E-15,-2.25E-22,-6.68E-20
0.161,3.05,4.09E-14,1.28E-13,2.37E-18,9.58E-18
0.161,3.2,4.20E-14,1.52E-13,9.03E-19,8.06E-18
0.161,3.35,-2.78E-11,-5.51E-11,-2.92E-16,-2.10E-15
0.161,3.5,2.45E-12,5.76E-12,-7.68E-20,-6.53E-18
0.161,3.65,9.18E-14,7.54E-13,6.92E-19,-6.51E-14
0.161,3.8,9.90E-16,1.69E-15,6.29E-22,-3.14E-19
0.161,3.95,-5.00E-15,8.19E-13,-3.25E-23,-1.04E-13
0.161,4.1,-2.67E-11,-6.07E-11,-1.15E-16,-5.82E-16
0.161,4.25,-3.03E-11,-2.93E-11,6.36E-15,2.23E-14
0.161,4.4,-1.38E-14,-2.96E-13,4.15E-22,3.24E-14
0.161,4.55,-2.61E-16,-2.03E-12,8.33E-22,2.50E-13
0.161,4.7,2.27E-14,4.94E-15,1.25E-18,1.15E-14
0.161,4.85,-1.22E-13,-1.50E-12,-6.34E-18,-1.54E-11
0.161,5,-1.75E-15,-1.35E-15,1.60E-22,-8.89E-16
0.161,5.15,-5.28E-14,4.42E-15,-6.59E-18,7.94E-16
0.161,5.3,-4.16E-12,-6.44E-12,4.99E-17,1.12E-16
0.161,5.45,1.02E-13,8.92E-14,-8.22E-21,1.11E-14
0.161,5.6,2.93E-12,8.33E-12,-2.61E-19,-1.24E-17
0.161,5.75,7.03E-14,2.07E-13,1.99E-19,6.50E-18
0.161,5.9,3.29E-15,2.03E-15,9.28E-23,-5.12E-21
0.161,6.05,-1.06E-15,-3.77E-15,3.87E-23,-2.38E-17
0.161,6.2,1.62E-11,1.75E-11,-9.37E-17,-1.07E-16
0.161,6.35,-9.82E-16,-6.30E-16,8.45E-22,3.35E-20
0.161,6.5,-7.86E-14,7.98E-12,3.09E-19,-9.86E-13
0.161,6.65,1.29E-11,4.18E-11,-1.27E-16,4.01E-16
0.161,6.8,-2.14E-15,-2.25E-14,6.72E-22,9.96E-16
0.161,6.95,6.79E-12,1.65E-11,1.13E-18,-6.09E-17
0.161,7.1,4.33E-12,1.21E-11,-4.61E-19,-3.39E-19
0.161,7.25,-1.95E-15,-3.54E-15,-6.93E-24,-2.44E-21
0.161,7.4,4.02E-14,5.27E-14,1.20E-22,4.80E-18
0.161,7.55,2.67E-14,9.64E-14,3.34E-23,-6.11E-16
0.161,7.7,3.46E-14,7.54E-14,-8.82E-23,-4.14E-20
0.161,7.85,1.67E-12,4.80E-12,-6.19E-19,-1.22E-14
0.161,8,5.54E-12,1.19E-11,-4.86E-19,-8.81E-16
0.181,0.5,6.03E-15,-7.74E-17,-2.42E-16,0.355432781
0.181,0.65,-1.04E-11,1.59E-14,-7.39E-12,0.355432781
0.181,0.8,-5.03E-13,3.54E-14,1.24E-12,0.355432781
0.181,0.95,-8.61E-11,6.34E-07,-8.41E-12,0.355430678
0.181,1.1,2.45E-14,0.025531559,-7.10E-15,0.255315588
0.181,1.25,1.02E-11,0.027803031,-1.07E-11,0.218444678
0.181,1.4,4.82E-08,0.012382755,1.10E-09,0.031638078
0.181,1.55,-1.39E-10,0.001299949,3.86E-10,0.003341556
0.181,1.7,-4.64E-16,-3.30E-10,1.02E-14,-4.74E-09
0.181,1.85,-1.21E-15,-1.91E-12,-6.42E-18,-4.55E-12
0.181,2,-1.80E-15,7.15E-14,3.18E-24,-5.77E-14
0.181,2.15,-5.37E-14,1.63E-11,-1.10E-18,4.14E-11
0.181,2.3,1.34E-12,-3.31E-12,5.53E-18,1.09E-11
0.181,2.45,9.46E-13,3.22E-12,-6.19E-21,-4.29E-14
0.181,2.6,2.66E-12,1.03E-11,-5.74E-19,2.60E-14
0.181,2.75,-4.94E-12,-1.38E-11,1.52E-18,4.03E-16
0.181,2.9,1.10E-13,4.11E-13,2.98E-17,4.35E-16
0.181,3.05,-2.11E-14,-3.55E-14,2.53E-20,4.92E-14
0.181,3.2,-4.74E-14,-1.26E-13,-1.55E-19,-2.19E-17
0.181,3.35,-1.43E-15,-9.07E-15,-1.92E-20,-2.23E-18
0.181,3.5,1.99E-14,4.91E-14,3.33E-19,9.89E-17
0.181,3.65,2.94E-14,7.56E-14,-3.58E-20,9.01E-21
0.181,3.8,1.38E-13,3.62E-13,9.36E-22,5.16E-16
0.181,3.95,-3.89E-11,-5.00E-11,-4.82E-16,-2.61E-13
0.181,4.1,-2.40E-14,-6.36E-13,2.52E-19,4.89E-14
0.181,4.25,-9.03E-13,-2.34E-12,1.90E-17,6.60E-14
0.181,4.4,-1.84E-09,-2.90E-09,-8.07E-14,-2.40E-13
0.181,4.55,5.80E-14,1.51E-13,8.29E-18,-3.54E-15
0.181,4.7,-2.91E-14,-2.03E-14,2.24E-21,-4.31E-15
0.181,4.85,-4.60E-15,-1.43E-14,2.82E-23,1.57E-20
0.181,5,-1.44E-11,-3.03E-11,7.80E-16,1.79E-15
0.181,5.15,-2.88E-11,-5.72E-11,-1.87E-16,-2.09E-15
0.181,5.3,-1.22E-15,-1.80E-13,-2.89E-23,2.10E-14
0.181,5.45,-2.01E-14,-1.07E-13,2.03E-21,5.15E-15
0.181,5.6,3.99E-14,9.23E-14,5.29E-18,-2.56E-16
0.181,5.75,-1.68E-14,-2.96E-14,-3.80E-20,1.15E-17
0.181,5.9,3.91E-13,3.26E-12,-3.75E-19,-2.65E-13
0.181,6.05,7.40E-15,9.39E-14,-2.06E-20,-9.09E-15
0.181,6.2,-6.53E-15,-6.83E-15,2.95E-22,-7.29E-22
0.181,6.35,1.10E-12,1.96E-12,-9.93E-17,-1.50E-16
0.181,6.5,-7.08E-15,-1.90E-14,9.70E-22,2.04E-18
0.181,6.65,4.16E-13,1.07E-12,-1.41E-19,-4.48E-19
0.181,6.8,-2.24E-15,6.98E-14,1.14E-23,-9.10E-15
0.181,6.95,2.65E-15,-7.88E-13,1.25E-21,9.53E-14
0.181,7.1,-4.34E-13,-1.40E-12,-5.43E-20,2.81E-14
0.181,7.25,1.03E-13,1.55E-13,-4.33E-20,8.18E-15
0.181,7.4,8.79E-16,-7.59E-16,-3.86E-22,-2.33E-19
0.181,7.55,2.11E-14,4.97E-14,7.29E-22,-1.20E-15
0.181,7.7,4.62E-14,1.01E-13,-1.72E-22,-3.10E-21
0.181,7.85,8.67E-12,2.22E-11,-3.07E-17,-3.39E-17
0.181,8,1.52E-10,3.69E-10,-1.01E-17,-1.47E-13
0.201,0.5,5.93E-16,2.25E-13,4.41E-15,0.419568823
0.201,0.65,-2.08E-11,-8.89E-15,-3.70E-11,0.419568823
0.201,0.8,5.24E-12,-2.22E-12,-2.51E-12,0.419568823
0.201,0.95,-5.51E-11,6.75E-07,4.63E-11,0.419566987
0.201,1.1,-1.29E-10,0.028833184,1.10E-11,0.330287744
0.201,1.25,-2.14E-09,0.04794248,-8.89E-09,0.210991953
0.201,1.4,-1.09E-08,0.049709762,-4.45E-08,0.198838849
0.201,1.55,-3.40E-06,0.017249001,5.12E-09,0.046048861
0.201,1.7,3.48E-12,-5.37E-11,-4.09E-13,-1.48E-10
0.201,1.85,1.17E-13,-1.29E-12,-1.40E-14,-2.84E-12
0.201,2,-3.70E-16,1.10E-13,-8.48E-21,1.73E-13
0.201,2.15,-1.96E-13,-1.58E-12,3.86E-19,4.04E-15
0.201,2.3,-3.41E-15,1.71E-12,3.23E-16,8.15E-13
0.201,2.45,2.82E-15,1.51E-14,4.02E-21,5.30E-17
0.201,2.6,-5.51E-15,-3.37E-14,2.81E-20,2.06E-15
0.201,2.75,-8.93E-12,-3.00E-11,-3.14E-18,1.39E-14
0.201,2.9,-7.04E-13,-3.14E-12,6.47E-17,2.47E-15
0.201,3.05,1.09E-12,2.29E-12,5.29E-17,1.73E-15
0.201,3.2,3.28E-12,1.13E-11,-4.43E-18,1.67E-14
0.201,3.35,4.43E-12,9.38E-12,7.50E-17,-4.35E-14
0.201,3.5,-1.01E-14,-7.55E-14,-5.26E-22,7.03E-15
0.201,3.65,-3.35E-15,2.24E-12,1.95E-20,-2.16E-13
0.201,3.8,2.16E-14,5.39E-14,-3.61E-18,-1.38E-17
0.201,3.95,1.24E-12,1.33E-12,-1.03E-20,-1.86E-12
0.201,4.1,-1.88E-17,4.51E-12,1.67E-21,1.05E-11
0.201,4.25,5.83E-12,1.08E-11,-3.02E-16,-3.25E-15
0.201,4.4,-1.02E-14,-3.82E-14,-1.89E-18,-1.16E-17
0.201,4.55,-3.41E-13,-6.22E-13,-4.12E-17,-1.11E-16
0.201,4.7,4.60E-12,8.38E-12,4.17E-20,-2.23E-13
0.201,4.85,-2.35E-11,-3.28E-11,-1.29E-15,-3.04E-15
0.201,5,-7.14E-15,-1.29E-14,2.75E-21,7.56E-20
0.201,5.15,1.22E-14,9.37E-15,1.06E-21,-3.94E-17
0.201,5.3,-7.83E-13,-2.31E-12,2.63E-18,4.32E-15
0.201,5.45,-3.85E-15,-1.19E-13,-1.04E-22,1.27E-14
0.201,5.6,-1.87E-15,-5.12E-15,4.00E-24,3.77E-17
0.201,5.75,-4.55E-14,-4.28E-12,-3.50E-18,4.91E-13
0.201,5.9,8.72E-12,1.55E-11,1.57E-18,-1.08E-12
0.201,6.05,3.74E-13,8.20E-13,3.38E-16,1.14E-14
0.201,6.2,7.50E-14,1.61E-13,-7.75E-20,-7.82E-16
0.201,6.35,1.70E-11,5.43E-11,9.92E-17,1.74E-14
0.201,6.5,2.60E-14,2.09E-14,1.40E-18,4.21E-15
0.201,6.65,-4.36E-15,-8.99E-15,9.39E-22,3.94E-17
0.201,6.8,4.91E-15,6.19E-15,1.20E-21,8.97E-15
0.201,6.95,5.53E-14,-1.45E-13,-3.87E-21,-5.95E-14
0.201,7.1,5.43E-11,9.20E-11,1.98E-15,6.89E-15
0.201,7.25,1.94E-15,-8.61E-14,-8.52E-22,8.64E-15
0.201,7.4,-4.87E-12,-1.13E-11,2.08E-16,-5.58E-15
0.201,7.55,2.74E-12,2.95E-12,5.10E-16,5.35E-16
0.201,7.7,-1.25E-15,-3.70E-14,-1.20E-21,3.38E-15
0.201,7.85,1.74E-12,4.92E-12,1.76E-18,-5.11E-15
0.201,8,-3.29E-14,-4.39E-13,-7.29E-14,-6.04E-14
0.221,0.5,2.19E-12,8.64E-15,2.88E-12,0.472096531
0.221,0.65,1.58E-15,-6.26E-14,-2.26E-17,0.472096531
0.221,0.8,-7.90E-11,-2.04E-13,-1.06E-10,0.472096531
0.221,0.95,-5.58E-15,8.03E-07,4.34E-17,0.47209463
0.221,1.1,-3.19E-12,0.037364596,1.19E-12,0.373645962
0.221,1.25,2.70E-11,0.063310709,7.11E-11,0.253242836
0.221,1.4,7.11E-11,0.062898621,1.72E-10,0.204729585
0.221,1.55,1.88E-08,0.04792023,5.09E-08,0.099909574
0.221,1.7,4.79E-08,0.00833574,8.73E-08,0.015156704
0.221,1.85,-6.12E-15,-3.92E-10,6.76E-16,-3.45E-10
0.221,2,4.07E-13,-2.28E-11,6.76E-16,-7.57E-11
0.221,2.15,-3.47E-16,-6.49E-14,1.83E-20,-7.86E-13
0.221,2.3,-1.14E-15,7.64E-17,3.87E-21,3.65E-14
0.221,2.45,-2.11E-14,-8.73E-14,4.46E-20,4.07E-18
0.221,2.6,-5.32E-15,-1.51E-11,3.19E-21,-2.37E-11
0.221,2.75,-2.94E-15,-2.45E-12,-3.37E-22,-3.93E-12
0.221,2.9,3.02E-14,1.24E-13,-1.56E-20,7.56E-14
0.221,3.05,-6.68E-16,-9.79E-16,-8.06E-21,-8.10E-19
0.221,3.2,5.29E-13,1.76E-12,-4.64E-18,3.64E-14
0.221,3.35,-5.27E-16,-2.18E-15,3.02E-20,2.82E-19
0.221,3.5,-6.51E-15,-4.07E-13,-4.10E-18,-7.84E-13
0.221,3.65,4.94E-13,1.21E-12,8.53E-16,1.44E-14
0.221,3.8,4.75E-14,1.13E-13,6.11E-18,-5.12E-17
0.221,3.95,2.88E-12,5.68E-12,-8.38E-18,-4.07E-17
0.221,4.1,-1.38E-14,-3.48E-14,4.10E-20,9.49E-19
0.221,4.25,-1.12E-13,-1.62E-13,-4.49E-18,-4.43E-18
0.221,4.4,1.41E-10,2.19E-10,1.93E-15,5.46E-15
0.221,4.55,7.23E-14,1.35E-13,2.01E-18,2.98E-16
0.221,4.7,-1.39E-15,-3.98E-15,2.32E-21,8.74E-19
0.221,4.85,-7.76E-15,3.50E-12,-3.46E-21,4.15E-12
0.221,5,1.20E-13,9.36E-14,4.51E-18,9.54E-18
0.221,5.15,-2.59E-15,-7.49E-15,1.07E-20,5.23E-19
0.221,5.3,-3.88E-15,-1.62E-14,6.06E-20,5.66E-16
0.221,5.45,8.78E-14,4.38E-14,8.20E-19,-1.72E-18
0.221,5.6,-2.16E-15,1.02E-14,2.27E-20,-2.54E-16
0.221,5.75,-1.03E-15,-1.43E-15,-4.85E-21,2.08E-20
0.221,5.9,-1.14E-13,-2.61E-13,2.33E-15,4.65E-15
0.221,6.05,2.03E-15,9.51E-15,-2.05E-22,-1.14E-16
0.221,6.2,-2.26E-15,-8.58E-12,1.94E-21,-1.16E-11
0.221,6.35,2.05E-13,5.64E-13,2.09E-19,-5.88E-17
0.221,6.5,1.53E-12,4.75E-12,1.02E-18,7.64E-16
0.221,6.65,1.88E-12,4.34E-12,-1.01E-18,1.74E-15
0.221,6.8,-2.45E-11,-2.55E-10,-4.69E-11,-5.78E-11
0.221,6.95,2.58E-12,8.31E-12,6.16E-18,-7.50E-16
0.221,7.1,-7.95E-15,5.41E-12,-3.81E-22,-1.18E-12
0.221,7.25,4.88E-12,7.82E-12,-9.62E-17,1.20E-13
0.221,7.4,-1.31E-12,-2.44E-12,-1.06E-18,3.34E-17
0.221,7.55,-8.90E-13,-2.25E-12,-1.84E-18,-3.01E-16
0.221,7.7,3.15E-15,7.04E-15,5.96E-22,1.34E-17
0.221,7.85,-2.84E-15,-2.41E-14,5.07E-20,1.96E-15
0.221,8,7.46E-13,2.37E-12,8.30E-19,9.08E-18
0.241,0.5,-1.10E-12,6.25E-15,-1.39E-12,0.515905947
0.241,0.65,-1.60E-12,-2.39E-14,-1.87E-12,0.515905948
0.241,0.8,8.27E-11,9.81E-13,1.85E-11,0.515905948
0.241,0.95,6.87E-10,2.85E-07,2.94E-10,0.515905344
0.241,1.1,1.51E-08,0.041808125,6.36E-09,0.418081274
0.241,1.25,-3.89E-12,0.074654219,-4.80E-12,0.298616874
0.241,1.4,4.19E-14,0.078468682,1.49E-14,0.240964236
0.241,1.55,-1.96E-11,0.070336093,-5.49E-11,0.138930849
0.241,1.7,4.79E-08,0.00833574,8.73E-08,0.015156704
0.241,1.85,-1.51E-11,-1.38E-07,-2.48E-11,-1.64E-07
0.241,2,2.01E-13,-8.69E-10,-2.04E-14,-7.32E-10
0.241,2.15,3.07E-14,2.70E-13,-1.18E-14,-6.91E-14
0.241,2.3,4.35E-16,4.83E-15,1.33E-21,1.00E-17
0.241,2.45,-2.61E-15,-3.74E-12,1.34E-20,-4.86E-12
0.241,2.6,2.22E-14,-3.41E-11,4.27E-20,-4.35E-11
0.241,2.75,-2.30E-15,-9.23E-15,1.14E-20,7.47E-17
0.241,2.9,-6.82E-13,-2.47E-12,-4.82E-18,-4.25E-17
0.241,3.05,-5.76E-10,-2.27E-09,1.75E-15,7.06E-15
0.241,3.2,1.60E-12,5.20E-12,-6.17E-18,-4.15E-15
0.241,3.35,-1.13E-14,2.35E-11,-1.03E-20,2.97E-11
0.241,3.5,-1.03E-12,-2.96E-12,4.62E-18,5.22E-15
0.241,3.65,-7.17E-15,1.57E-13,-7.79E-15,-5.37E-14
0.241,3.8,3.86E-12,1.22E-11,-5.08E-17,-1.79E-16
0.241,3.95,-3.78E-15,5.47E-13,-3.99E-21,4.60E-13
0.241,4.1,8.49E-15,5.04E-14,-1.72E-18,-8.57E-18
0.241,4.25,-3.08E-13,-7.92E-13,1.37E-18,3.75E-18
0.241,4.4,9.27E-15,2.02E-14,1.55E-21,-4.18E-16
0.241,4.55,5.24E-14,1.23E-13,1.12E-17,2.70E-17
0.241,4.7,-1.78E-13,-4.42E-13,1.01E-17,2.22E-17
0.241,4.85,-1.08E-14,6.37E-14,3.96E-20,-1.02E-14
0.241,5,-1.66E-15,1.91E-12,-9.29E-21,-1.59E-13
0.241,5.15,-9.27E-16,-1.12E-13,-2.00E-20,1.27E-14
0.241,5.3,7.99E-15,-3.75E-13,-1.78E-20,-4.30E-13
0.241,5.45,-2.49E-15,4.94E-13,-7.70E-21,1.04E-12
0.241,5.6,-3.02E-16,-1.96E-15,-1.89E-20,-4.71E-17
0.241,5.75,-1.20E-15,-8.82E-15,-3.89E-21,4.38E-16
0.241,5.9,8.42E-12,1.98E-11,6.47E-18,-2.82E-15
0.241,6.05,3.10E-14,4.13E-14,-1.16E-18,-9.83E-16
0.241,6.2,1.54E-12,4.55E-12,-6.78E-18,2.12E-14
0.241,6.35,5.03E-12,7.93E-12,-5.43E-17,1.85E-16
0.241,6.5,-5.64E-15,1.88E-12,-1.13E-19,2.42E-12
0.241,6.65,4.22E-13,1.41E-12,-2.86E-18,1.07E-15
0.241,6.8,-7.07E-15,-1.00E-12,7.85E-20,1.13E-13
0.241,6.95,-4.29E-16,1.12E-14,-6.80E-21,-1.15E-15
0.241,7.1,-3.16E-11,-3.40E-11,-2.08E-14,2.78E-13
0.241,7.25,8.09E-14,1.07E-12,-2.32E-18,-6.29E-17
0.241,7.4,6.14E-12,1.17E-11,-3.47E-17,-1.53E-13
0.241,7.55,-2.18E-14,-3.92E-12,-2.39E-19,3.14E-13
0.241,7.7,3.53E-15,-4.50E-14,4.64E-19,5.70E-15
0.241,7.85,1.46E-12,3.67E-12,-1.39E-18,-2.08E-16
0.241,8,-4.04E-15,-8.68E-15,-2.07E-20,-2.30E-21
0.261,0.5,1.77E-13,-1.24E-14,1.94E-13,0.553001277
0.261,0.65,9.82E-11,-2.43E-13,1.07E-10,0.553001277
0.261,0.8,-1.43E-10,1.77E-12,-6.73E-10,0.553001276
0.261,0.95,-8.64E-10,1.15E-06,-2.52E-09,0.55299902
0.261,1.1,2.54E-10,0.036456744,2.67E-10,0.475165005
0.261,1.25,2.33E-10,0.084259259,2.58E-10,0.337037038
0.261,1.4,-7.91E-11,0.096697683,-7.65E-11,0.241744207
0.261,1.55,2.81E-10,0.090375182,2.07E-09,0.170911545
0.261,1.7,-2.02E-12,0.067575774,1.93E-12,0.096536695
0.261,1.85,-3.37E-12,0.067575833,3.22E-12,0.096536716
0.261,2,-4.27E-07,0.006802471,-1.09E-06,0.00968863
0.261,2.15,1.25E-14,1.25E-11,-8.59E-18,-2.78E-11
0.261,2.3,3.68E-13,-2.29E-10,-1.78E-18,-2.28E-10
0.261,2.45,1.26E-15,3.99E-13,-4.05E-20,4.73E-13
0.261,2.6,8.42E-16,6.75E-15,-8.23E-19,-1.69E-16
0.261,2.75,3.92E-14,1.33E-13,-5.26E-15,2.44E-14
0.261,2.9,-1.18E-15,-1.82E-12,1.04E-18,-1.84E-12
0.261,3.05,-2.85E-15,3.78E-14,-2.98E-20,-1.06E-13
0.261,3.2,1.53E-12,3.88E-12,-5.79E-17,-3.77E-16
0.261,3.35,-2.14E-13,-8.40E-13,-2.66E-18,3.83E-16
0.261,3.5,-5.11E-11,-1.68E-10,3.59E-14,2.00E-13
0.261,3.65,-4.12E-16,-6.17E-15,-1.70E-20,1.03E-16
0.261,3.8,6.26E-13,2.36E-12,-1.01E-16,4.45E-14
0.261,3.95,-1.82E-14,-1.27E-13,-1.82E-14,-4.45E-14
0.261,4.1,1.24E-15,1.71E-15,1.45E-16,3.94E-16
0.261,4.25,1.18E-16,1.20E-15,-2.95E-18,-6.41E-16
0.261,4.4,-1.84E-12,-1.33E-11,-1.96E-12,-4.60E-12
0.261,4.55,1.97E-15,5.07E-15,1.73E-19,4.27E-19
0.261,4.7,-1.31E-14,-2.55E-14,-6.71E-19,-1.56E-18
0.261,4.85,-5.20E-15,1.39E-13,-2.12E-20,-5.38E-14
0.261,5,2.03E-12,4.80E-12,-1.81E-16,-2.38E-16
0.261,5.15,5.53E-12,1.54E-11,-6.33E-17,-9.19E-17
0.261,5.3,2.28E-13,3.79E-13,1.04E-15,1.57E-15
0.261,5.45,-1.44E-14,-4.80E-13,-1.39E-14,-4.84E-13
0.261,5.6,-5.00E-14,-1.34E-13,-2.59E-19,1.44E-16
0.261,5.75,-8.97E-15,7.27E-14,-1.58E-19,-4.32E-15
0.261,5.9,-9.72E-13,-1.39E-12,5.11E-17,7.06E-17
0.261,6.05,1.04E-14,2.59E-14,-1.51E-18,-2.05E-18
0.261,6.2,-1.36E-14,-3.81E-14,1.25E-16,6.78E-16
0.261,6.35,1.15E-14,1.87E-14,-7.56E-20,2.82E-16
0.261,6.5,1.12E-15,5.00E-14,7.49E-20,-2.92E-15
0.261,6.65,8.18E-13,2.22E-12,-3.92E-17,3.66E-14
0.261,6.8,3.96E-12,1.06E-11,-1.05E-16,-2.53E-17
0.261,6.95,1.81E-15,6.02E-15,1.37E-19,2.90E-18
0.261,7.1,3.13E-14,8.92E-14,3.48E-17,2.71E-16
0.261,7.25,5.82E-15,3.29E-14,5.47E-20,-1.39E-15
0.261,7.4,-2.87E-12,-7.31E-12,5.63E-14,4.71E-14
0.261,7.55,-3.10E-13,-1.82E-12,-3.33E-13,-2.10E-13
0.261,7.7,-2.20E-15,-9.44E-15,1.39E-19,2.72E-18
0.261,7.85,1.34E-13,3.57E-13,4.35E-16,3.92E-16
0.261,8,-1.11E-14,-1.00E-12,-7.86E-14,2.16E-13
0.281,0.5,-6.04E-12,2.68E-14,-5.77E-12,0.584816133
0.281,0.65,2.62E-10,2.92E-14,2.56E-10,0.584816133
0.281,0.8,6.17E-10,-2.34E-13,6.47E-10,0.584816135
0.281,0.95,7.34E-08,1.15E-06,2.07E-07,0.584814234
0.281,1.1,-1.95E-08,0.039038316,-2.91E-09,0.507343424
0.281,1.25,1.17E-11,0.088127089,1.06E-11,0.381786908
0.281,1.4,-1.30E-14,0.110150822,-2.92E-14,0.275377055
0.281,1.55,-6.99E-10,0.108545703,1.00E-09,0.197355836
0.281,1.7,1.47E-09,0.092073137,4.65E-10,0.131533051
0.281,1.85,-3.37E-12,0.067575833,3.22E-12,0.096536716
0.281,2,1.93E-06,0.025964665,-5.72E-06,0.025538057
0.281,2.15,6.79E-12,6.81E-06,5.28E-12,-0.000285702
0.281,2.3,3.42E-12,1.47E-10,2.66E-12,1.24E-10
0.281,2.45,-1.15E-15,4.43E-13,-1.25E-19,4.32E-13
0.281,2.6,-3.51E-13,-2.96E-12,-9.97E-14,-1.12E-12
0.281,2.75,1.60E-14,9.44E-14,-5.87E-19,4.40E-17
0.281,2.9,-4.37E-14,-2.80E-13,-8.90E-18,-5.97E-16
0.281,3.05,-6.88E-15,-2.43E-14,-2.62E-19,-4.65E-15
0.281,3.2,3.80E-13,4.89E-12,3.59E-13,3.19E-12
0.281,3.35,-3.46E-15,6.07E-13,-4.45E-18,2.89E-13
0.281,3.5,2.02E-15,-1.42E-12,9.88E-18,-1.48E-12
