0.0,-0.3500000000000003
0.01,-0.5309434800714252
0.02,-0.6683300132670381
0.03,-0.7889042780032897
0.04,-0.9000000000000002
0.05,-1.0048832578764801
0.06,-1.1053367989832945
0.07,-1.2024550640397125
0.08,-1.29696411113868
0.09,-1.3893729953647795
0.1,-1.480053761886914
0.11,-1.5692872732929475
0.12,-1.6572911411031295
0.13,-1.7442376068159973
0.14,-1.830265455545732
0.15,-1.9154882215030846
0.16,-2.0000000000000004
0.17,-2.0838796639871195
0.18,-2.1671939872319497
0.19,-2.2500000000000004
0.2,-2.3323467945037577
0.21,-2.414276928456986
0.22,-2.4958275301651596
0.23,-2.5770311786384843
0.24,-2.657916611827674
0.25,-2.738509301941413
0.26,-2.8188319268278637
0.27,-2.8989047592548065
0.28,-2.9787459907295584
0.29,-3.058372002677251
0.3,-3.137797594948911
0.31,-3.217036179486844
0.32,-3.296099945343813
0.33,-3.3750000000000004
0.34,-3.4537464909513886
0.35,-3.5323487107852265
0.36,-3.6108151883616157
0.37,-3.6891537682471967
0.38,-3.767371680169324
0.39,-3.8454755999557615
0.4,-3.9234717031797404
0.41,-4.001365712530991
0.42,-4.079162939770423
0.43,-4.156868322992439
0.44,-4.234486459808397
0.45,-4.3120216369732285
0.46,-4.38947785690092
0.47,-4.466858861450862
0.48,-4.544168153313443
0.49,-4.621409015278227
0.5,-4.698584527629807
0.51,-4.7756975838840425
0.52,-4.852750905049801
0.53,-4.9297470525777065
0.54,-5.006688440137238
0.55,-5.083577344346075
0.56,-5.160415914560673
0.57,-5.237206181824083
0.58,-5.313950067055787
0.59,-5.390649388558619
0.6,-5.467305868909306
0.61,-5.543921141291791
0.62,-5.620496755325985
0.63,-5.697034182438925
0.64,-5.773534820820309
0.65,-5.8500000000000005
0.66,-5.9264309850811765
0.67,-6.002828980659387
0.68,-6.079195134454762
0.69,-6.155530540681885
0.7,-6.231836243179446
0.71,-6.308113238319708
0.72,-6.384362477715861
0.73,-6.460584870743653
0.74,-6.536781286892192
0.75,-6.612952557957421
0.76,-6.689099480090572
0.77,-6.765222815712784
0.78,-6.841323295306088
0.79,-6.917401619090106
0.8,-6.9934584585929445
0.81,-7.069494458124098
0.82,-7.145510236156492
0.83,-7.221506386624202
0.84,-7.297483480141863
0.85,-7.373442065151279
0.86,-7.449382669000302
0.87,-7.525305798958656
0.88,-7.601211943175
0.89,-7.6771015715792075
0.9,-7.752975136733504
0.91,-7.8288330746358525
0.92,-7.904675805478728
0.93,-7.980503734366148
0.94,-8.056317251991642
0.95,-8.132116735279656
0.96,-8.207902547992681
0.97,-8.283675041306257
0.98,-8.359434554353795
0.99,-8.435181414743122
1.0,-8.51091593904642
